POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LC_LO,LC_LA
16941016,77수족관,경상북도,포항시 북구,죽도동,129.3670352,36.02959961
16941056,땅끝선착장해광카훼리호매표소,전라남도,해남군,송지면,126.5295735,34.2981979
16941393,안동한우불고기타운,경상북도,안동시,풍산읍,128.5733981,36.57775819
16943741,양평수목원,경기도,양평군,지평면,127.6133313,37.44905084
16944243,중앙로문화의거리,강원특별자치도,원주시,중앙동,127.9506276,37.34966599
16944337,월미전통공원,인천광역시,중구,북성동1가,126.6053422,37.47459402
16944558,이기대해안산책로,부산광역시,남구,용호동,129.1282466,35.11831883
16944714,설래림야영장,강원특별자치도,정선군,임계면,128.9015403,37.48902167
16945037,억수계곡,충청북도,제천시,덕산면,128.1518236,36.87266081
16975860,피니시타워,강원특별자치도,화천군,하남면,127.6995742,38.09647551
16976161,어련당,울산광역시,중구,동동,129.3502805,35.57404554
16976344,자굴산치유수목원,경상남도,의령군,가례면,128.2401034,35.35135752
16977250,대전동부도룡매표소,대전광역시,유성구,도룡동,127.3773926,36.38878189
16977419,대가야승마캠핑장,경상북도,고령군,대가야읍,128.2653839,35.71252986
16978816,캐리비안캠프,경기도,용인시 처인구,포곡읍,127.2088005,37.28449733
16978850,평대해수욕장,제주특별자치도,제주시,구좌읍,126.8409403,33.53375666
16979783,월암재,경상북도,경주시,탑동,129.2161722,35.81562278
16979835,증도낙조전망대,전라남도,신안군,증도면,126.0983494,35.00258859
16979838,보성드림캠핑장,전라남도,보성군,득량면,127.1883671,34.70312871
16980091,송재서재필선생생가,전라남도,보성군,문덕면,127.2044197,34.94878158
16980387,인터네셔널에듀케이션,서울특별시,서초구,서초동,127.0202828,37.49541322
16981092,길림여행사,경기도,광주시,역동,127.2562692,37.40674728
16982026,오일장개발,제주특별자치도,서귀포시,표선면,126.8329164,33.32581439
16982086,유암폭포,경상남도,산청군,시천면,127.725912,35.3249062
16982545,광풍루,경상남도,함양군,안의면,127.8129447,35.62911078
16983485,고대산캠핑리조트,경기도,연천군,신서면,127.1484154,38.2132293
16984778,송우가구거리,경기도,포천시,소흘읍,127.1263588,37.79171158
16985218,카라반랜드,경기도,안산시 단원구,대부남동,126.5953018,37.21540457
16987263,물꽃캠핑장,경기도,연천군,군남면,127.0283011,38.03744983
16987464,창선대교타운,경상남도,남해군,창선면,128.0316591,34.92061333
16987509,박연정,경상남도,밀양시,상동면,128.7951742,35.57210289
16988402,홍정희효자문,경기도,안산시 단원구,대부남동,126.5509545,37.21128508
16988421,숲정이,전라남도,화순군,동복면,127.1223695,35.04385052
16988596,예산군교통안내소,충청남도,예산군,예산읍,126.8292118,36.686064
16989913,미사오토캠핑장,경기도,가평군,설악면,127.5425917,37.7131393
16989918,포도밸리캠핑장,경기도,가평군,상면,127.3728337,37.76211724
16991573,부림관광,경상북도,칠곡군,왜관읍,128.3965941,35.9877925
16992579,선재오토캠핑장,인천광역시,옹진군,영흥면,126.5266707,37.24958934
16993510,세계관광,충청남도,천안시 동남구,신방동,127.1255499,36.76790701
16995211,사동해수욕장,경상북도,울릉군,울릉읍,130.8959725,37.47581944
16995879,평촌자연캠핑장,경상남도,산청군,삼장면,127.8390541,35.34535248
16998549,하동북천코스모스메밀꽃축제,경상남도,하동군,북천면,127.8763146,35.10856536
16999107,위천캠핑장밀림농원,대구광역시,군위군,의흥면,128.7390424,36.16201199
16999117,굴포먹거리타운,인천광역시,부평구,갈산동,126.7274395,37.5080788
17000214,선병우고가,충청북도,보은군,장안면,127.7917932,36.47071994
17001150,해금강안내소,경상남도,거제시,남부면,128.6733533,34.73888853
17001359,거제레저여행,경상남도,거제시,일운면,128.6834977,34.81174581
17001477,동두천시외국인관광특구,경기도,동두천시,생연동,127.0561696,37.91326724
17001660,알파투어,전라북도,전주시 완산구,삼천동1가,127.1178487,35.79664102
